Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation
P1,PZ254V-11-05P,TopLayer,Header_4-2.54mm,590,1280,180
C6,0.1uF,TopLayer,C0603,685,435,0
P4,2.54mmË«ÅÅÄ¸×ù,TopLayer,P2-2.54-16,1645,865,90
R5,100k,TopLayer,603,540,435,180
U3,EL817,TopLayer,M-DIP4,1220,1200,360
U2,STM8L101F3P6,TopLayer,TSSOP-20,410,810,180
U1,ME6210A33M3G,TopLayer,SOT-23,730,1050,180
R6,10k,TopLayer,603,540,355,180
R4,10k,TopLayer,603,790,760,270
R3,100k,TopLayer,603,715,760,270
R2,10k,TopLayer,603,200,748.504,270
R1,2k,TopLayer,603,280,1105,270
P3,PHB-2AWB,TopLayer,PH2-2.0,985,210,0
P2,PHB-2AWB,TopLayer,PH2-2.0,190,210,0
D11,B5819W,TopLayer,SOD-123,1330,470,360
D10,B5819W,TopLayer,SOD-123,1020,470,360
D9,B5819W,TopLayer,SOD-123,1330,597.5,360
D8,B5819W,TopLayer,SOD-123,1020,597.5,360
D7,B5819W,TopLayer,SOD-123,1330,725,360
D6,B5819W,TopLayer,SOD-123,1020,725,360
D5,B5819W,TopLayer,SOD-123,1330,852.5,360
D4,B5819W,TopLayer,SOD-123,1020,852.5,360
D3,B5819W,TopLayer,SOD-123,1330,980,360
D2,B5819W,TopLayer,SOD-123,1020,980,360
D1,LEDºìµÆ,TopLayer,0805LED,200,917.244,90
C5,0.1uF,TopLayer,C0603,640,760,270
C4,0.1uF,TopLayer,C0603,620,1080,270
C3,0.1uF,TopLayer,C0603,360,1105,90
C2,0.1uF,TopLayer,C0603,440,1105,90
C1,0.1uF,TopLayer,C0603,840,1080,90
