Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
R34,1k,TopLayer,LC-0603_R,3124.075,1620.45,180,ÌùÆ¬µç×è
D3,LEDÂÌµÆ,TopLayer,LED_0805,3302.184,1620.45,180,LED
R33,10k,TopLayer,LC-0603_R,4599.086,1592.292,90,ÌùÆ¬µç×è
C33,0.1uF,TopLayer,LC-0603_C,4869.244,1920.506,270,ÌùÆ¬µçÈÝ
U13,RZ7899,TopLayer,rz7899,4944.244,1660.442,180,
Q9,2N7002,TopLayer,SOT-23,4730.452,1614.428,180,MOS
J4,Header_2.54mm,TopLayer,HDR1X4,4275.992,2601.595,360,
U12,EL817,TopLayer,SOP-4_L6.5-W4.6-P2.54-LS10.2-TL,6083.013,988.07,270,KPC357NT
R32,1k,TopLayer,LC-0603_R,6096.628,1288.508,360,ÌùÆ¬µç×è
L2,10uH/20%/2.5A,TopLayer,IND-SMD_L7.0-W7.0_SMDRS70XX,4850.651,819.234,90,
C31,470uF/16V/20%,TopLayer,CAP-SMD_BD8.0-L8.3-W8.3-FD,3394.779,2666.484,270,Capacitor-P
U11,EL817,TopLayer,SOP-4_L6.5-W4.6-P2.54-LS10.2-TL,6618.597,1129.676,180,KPC357NT
R31,10K,TopLayer,LC-0603_R,6854.134,949.766,360,ÌùÆ¬µç×è
R30,10K,TopLayer,LC-0603_R,6283.751,1078.575,180,ÌùÆ¬µç×è
J11,HT396K-3.96-4P,TopLayer,Header_4-3.96mm,5543.465,381.215,180,
J1,HT396K-3.96-4P,TopLayer,Header_4-3.96mm,1995.659,381.78,180,
U1,STM32F103RCT6,TopLayer,LC-LQFP-64_10x10x05P,3810,2165.001,270,
J12,U-USBAR04P-F002,TopLayer,USB-A-TH_USB-A-F-90,7022.858,504.797,0,
U5,DRV8874PWPR,TopLayer,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,4885.016,1207.05,270,
TP2,3.3V,TopLayer,PIN1,883.255,2584.383,270,Test Point
TP1,5V,TopLayer,PIN1,453.492,2585.945,270,Test Point
H1,#NAME?,TopLayer,THC7R5D3R4-M3-PTH,196.85,3740.158,0,
Y2,12MHz,TopLayer,OSC-SMD_12MHz,6800.074,1612.939,360,Crystal Oscillator
