Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
,Mark,TopLayer,Mark,-2850,3440,0,
,Mark,TopLayer,Mark,340,90,0,
D10,LED-RGB,TopLayer,LED-RGB,537.047,293.092,180,
J2,Header 4,BottomLayer,PCBComponent_1,336.061,664.118,190,"Header, 4-Pin"
R30,130R/0805,TopLayer,0805_2.4mm,127.047,403.092,180,ÌùÆ¬µç×è
R29,200R/0805,TopLayer,0805_2.4mm,127.047,303.092,180,ÌùÆ¬µç×è
R28,130R/0805,TopLayer,0805_2.4mm,127.047,203.092,180,ÌùÆ¬µç×è
R27,130R/0805,TopLayer,0805_2.4mm,19.803,903.092,180,ÌùÆ¬µç×è
R26,200R/0805,TopLayer,0805_2.4mm,17.047,803.092,180,ÌùÆ¬µç×è
R25,130R/0805,TopLayer,0805_2.4mm,87.047,663.092,180,ÌùÆ¬µç×è
R24,130R/0805,TopLayer,0805_2.4mm,-140.197,1393.092,180,ÌùÆ¬µç×è
R23,200R/0805,TopLayer,0805_2.4mm,-112.953,1263.092,180,ÌùÆ¬µç×è
R22,130R/0805,TopLayer,0805_2.4mm,-62.953,1123.092,180,ÌùÆ¬µç×è
R21,130R/0805,TopLayer,0805_2.4mm,-412.953,1793.092,270,ÌùÆ¬µç×è
R20,200R/0805,TopLayer,0805_2.4mm,-302.953,1640.336,270,ÌùÆ¬µç×è
R19,130R/0805,TopLayer,0805_2.4mm,-202.953,1550.336,270,ÌùÆ¬µç×è
R18,130R/0805,TopLayer,0805_2.4mm,-2642.953,3413.092,270,ÌùÆ¬µç×è
R17,200R/0805,TopLayer,0805_2.4mm,-2532.953,3413.092,270,ÌùÆ¬µç×è
R16,130R/0805,TopLayer,0805_2.4mm,-2432.953,3410.336,270,ÌùÆ¬µç×è
R15,130R/0805,TopLayer,0805_2.4mm,-3262.953,3493.092,270,ÌùÆ¬µç×è
R14,200R/0805,TopLayer,0805_2.4mm,-3152.953,3493.092,270,ÌùÆ¬µç×è
R13,130R/0805,TopLayer,0805_2.4mm,-3032.953,3493.092,270,ÌùÆ¬µç×è
R12,130R/0805,TopLayer,0805_2.4mm,-1122.953,2673.092,270,ÌùÆ¬µç×è
R11,200R/0805,TopLayer,0805_2.4mm,-1002.953,2573.092,270,ÌùÆ¬µç×è
R10,130R/0805,TopLayer,0805_2.4mm,-862.953,2473.092,270,ÌùÆ¬µç×è
R9,130R/0805,TopLayer,0805_2.4mm,-1542.953,2973.092,270,ÌùÆ¬µç×è
R8,200R/0805,TopLayer,0805_2.4mm,-1432.953,2973.092,270,ÌùÆ¬µç×è
R7,130R/0805,TopLayer,0805_2.4mm,-1312.953,2973.092,270,ÌùÆ¬µç×è
R6,130R/0805,TopLayer,0805_2.4mm,-2262.953,3303.092,270,ÌùÆ¬µç×è
R5,200R/0805,TopLayer,0805_2.4mm,-2142.953,3303.092,270,ÌùÆ¬µç×è
R4,130R/0805,TopLayer,0805_2.4mm,-2032.953,3300.336,270,ÌùÆ¬µç×è
R3,130R/0805,TopLayer,0805_2.4mm,-732.953,2235.848,270,ÌùÆ¬µç×è
R2,200R/0805,TopLayer,0805_2.4mm,-602.953,2143.092,270,ÌùÆ¬µç×è
R1,130R/0805,TopLayer,0805_2.4mm,-492.953,2055.848,270,ÌùÆ¬µç×è
J1,Header 4,BottomLayer,PCBComponent_1,-2162.69,3593.83,75,"Header, 4-Pin"
D9,LED-RGB,TopLayer,LED-RGB,437.047,903.092,180,
D8,LED-RGB,TopLayer,LED-RGB,241.535,1490.021,180,
D7,LED-RGB,TopLayer,LED-RGB,-52.953,2053.092,180,
D6,LED-RGB,TopLayer,LED-RGB,-412.953,2553.092,180,
D5,LED-RGB,TopLayer,LED-RGB,-862.953,2993.092,180,
D4,LED-RGB,TopLayer,LED-RGB,-1367.441,3356.163,180,
D3,LED-RGB,TopLayer,LED-RGB,-1922.953,3643.092,180,
D2,LED-RGB,TopLayer,LED-RGB,-2512.953,3833.092,180,
D1,LED-RGB,TopLayer,LED-RGB,-3132.953,3923.092,180,
