Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
R21,4R7,TopLayer,0603_R,1155,225.5,90,Resistor
R20,100R,TopLayer,603,1240,440,90,Resistor
R19,10k,TopLayer,603,210,1550,90,Resistor
C10,10nF,TopLayer,C0603,1275,585,180,Capacitor
Q2,SS8550,TopLayer,SOT-23,124.252,1374.252,180,PNP
R18,100k,TopLayer,603,314.252,1514.252,360,Resistor
R17,100k,TopLayer,603,314.252,1584.252,180,Resistor
R16,510R,TopLayer,603,244.252,1394.252,90,Resistor
R15,10k,TopLayer,603,394.252,1724.252,180,Resistor
Q3,SS8050,TopLayer,SOT-23,354.252,1386.417,180,NPN
D5,B5819W,TopLayer,SOD-123,584.252,1814.252,360,Diode
D4,B5819W,TopLayer,SOD-123,584.252,1724.252,360,Diode
C11,22uF/0805,TopLayer,C0805,104.252,554.252,90,Capacitor
U3,ME2188A33XG,TopLayer,SOT-23,624.252,1544.252,360,DCDC   Step-Up
R12,100k,TopLayer,603,1704.252,334.252,360,Resistor
BT1,LR03(1.5V),TopLayer,BAT-7-1,984.252,984.263,0,Battery
U5,ME2159AM6G,TopLayer,SOT23-6,244.252,544.252,0,DCDC   Step-Up
U2,LM358,TopLayer,SO-8,1514.252,494.252,0,Operational Amplifier
U1,STM8L101F3P6,TopLayer,TSSOP-20,1499.252,1674.252,270,MCU
R14,10k,TopLayer,603,644.252,614.252,180,Resistor
R13,100k,TopLayer,603,644.252,544.252,360,Resistor
R11,100k,TopLayer,603,1774.252,452.756,90,Resistor
R10,100k,TopLayer,603,665.748,194.252,360,Resistor
R9,200k,TopLayer,603,1824.252,1314.252,180,Resistor
R8,200k,TopLayer,603,1404.252,1344.252,360,Resistor
R7,100k,TopLayer,603,1824.252,1384.252,180,Resistor
R6,200k,TopLayer,603,1544.252,1344.252,360,Resistor
R5,100k,TopLayer,603,1682.756,1344.252,0,Resistor
R3,200k,TopLayer,603,1684.252,1414.252,360,Resistor
R2,100k,TopLayer,603,1824.252,1454.252,360,Resistor
R1,200k,TopLayer,603,1824.252,1524.252,0,Resistor
Q1,SS8050,TopLayer,SOT-23,1274.252,254.252,180,NPN
P2,P-2.54-4,TopLayer,P-2.54-4,1024.252,1859.252,180,PH
D3,激光发光头,TopLayer,Laser-R3,984.252,137.806,0,"Header, 3-Pin"
L2,22uH,TopLayer,L3530,619.252,1364.252,270,Inductor
L1,22uH,TopLayer,L3530,294.252,364.252,270,Inductor
K1,K2-1817UQ-C4SW-01,TopLayer,K-1817,984.252,1614.184,180,Switch
D2,B5819W,TopLayer,SOD-123,414.252,554.252,270,Diode
C9,22uF/0805,TopLayer,C0805,774.252,1374.252,270,Capacitor
C8,0.1uF,TopLayer,C0603,1310,440,270,Capacitor
C7,0.1uF,TopLayer,C0603,754.252,1554.252,90,Capacitor
C5,0.1uF,TopLayer,C0603,1474.252,304.252,180,Capacitor
C4,22uF/0805,TopLayer,C0805,514.252,554.252,90,Capacitor
C3,0.1uF,TopLayer,C0603,1224.252,1714.252,180,Capacitor
C2,0.1uF,TopLayer,C0603,1814.252,564.252,360,Capacitor
C1,0.1uF,TopLayer,C0603,1262.756,1614.252,90,Capacitor
